feature_set,model,fpr,tpr,auc,n
Baseline,RandomForest,0.06946107784431138,0.4919928825622776,0.8498196223211939,7001
Baseline,RandomForest,0.07425149700598803,0.5209074733096085,0.8498196223211939,7001
Baseline,RandomForest,0.0782435129740519,0.5495996441281139,0.8498196223211939,7001
Baseline,RandomForest,0.07944111776447106,0.5796263345195729,0.8498196223211939,7001
Baseline,RandomForest,0.09700598802395209,0.6012010676156584,0.8498196223211939,7001
Baseline,RandomForest,0.11457085828343314,0.6229982206405694,0.8498196223211939,7001
Baseline,RandomForest,0.1409181636726547,0.6705960854092526,0.8498196223211939,7001
Baseline,RandomForest,0.1536926147704591,0.6950622775800712,0.8498196223211939,7001
Baseline,RandomForest,0.1660678642714571,0.7195284697508897,0.8498196223211939,7001
Baseline,RandomForest,0.17684630738522955,0.7448843416370107,0.8498196223211939,7001
Baseline,RandomForest,0.18762475049900199,0.7697953736654805,0.8498196223211939,7001
Baseline,RandomForest,0.19441117764471058,0.797153024911032,0.8498196223211939,7001
Baseline,RandomForest,0.19920159680638722,0.8254003558718861,0.8498196223211939,7001
Baseline,RandomForest,0.2407185628742515,0.833185053380783,0.8498196223211939,7001
Baseline,RandomForest,0.27904191616766466,0.843193950177936,0.8498196223211939,7001
Baseline,RandomForest,0.3141716566866267,0.854314946619217,0.8498196223211939,7001
Baseline,RandomForest,0.34970059880239523,0.8652135231316725,0.8498196223211939,7001
Baseline,RandomForest,0.38323353293413176,0.8774466192170819,0.8498196223211939,7001
Baseline,RandomForest,0.4155688622754491,0.8907918149466192,0.8498196223211939,7001
Baseline,RandomForest,0.4483033932135729,0.9039145907473309,0.8498196223211939,7001
Baseline,RandomForest,0.4806387225548902,0.9163701067615658,0.8498196223211939,7001
Baseline,RandomForest,0.5069860279441117,0.9332740213523132,0.8498196223211939,7001
Baseline,RandomForest,0.530938123752495,0.951067615658363,0.8498196223211939,7001
Baseline,RandomForest,0.5840319361277445,0.9524021352313167,0.8498196223211939,7001
Baseline,RandomForest,0.6327345309381237,0.9555160142348754,0.8498196223211939,7001
Baseline,RandomForest,0.6822355289421158,0.9588523131672598,0.8498196223211939,7001
Baseline,RandomForest,0.7325349301397206,0.9624110320284698,0.8498196223211939,7001
Baseline,RandomForest,0.782435129740519,0.9659697508896797,0.8498196223211939,7001
Baseline,RandomForest,0.8287425149700599,0.9715302491103203,0.8498196223211939,7001
Baseline,RandomForest,0.8734530938123752,0.9773131672597865,0.8498196223211939,7001
Baseline,RandomForest,0.9177644710578843,0.9830960854092526,0.8498196223211939,7001
Baseline,RandomForest,0.962874251497006,0.9902135231316725,0.8498196223211939,7001
Baseline,RandomForest,1.0,1.0,0.8498196223211939,7001
DSP,Logistic,0.0,0.0,0.6278711369784409,6911
DSP,Logistic,0.00040404040404040404,0.0,0.6278711369784409,6911
DSP,Logistic,0.00040404040404040404,0.0006762849413886385,0.6278711369784409,6911
DSP,Logistic,0.0012121212121212121,0.0006762849413886385,0.6278711369784409,6911
DSP,Logistic,0.0012121212121212121,0.0018034265103697023,0.6278711369784409,6911
DSP,Logistic,0.0016161616161616162,0.0018034265103697023,0.6278711369784409,6911
DSP,Logistic,0.0016161616161616162,0.0020288548241659153,0.6278711369784409,6911
DSP,Logistic,0.0024242424242424242,0.0020288548241659153,0.6278711369784409,6911
DSP,Logistic,0.0024242424242424242,0.003381424706943192,0.6278711369784409,6911
DSP,Logistic,0.0028282828282828283,0.003381424706943192,0.6278711369784409,6911
DSP,Logistic,0.0028282828282828283,0.003832281334535618,0.6278711369784409,6911
DSP,Logistic,0.0032323232323232323,0.003832281334535618,0.6278711369784409,6911
DSP,Logistic,0.0032323232323232323,0.00563570784490532,0.6278711369784409,6911
DSP,Logistic,0.0036363636363636364,0.00563570784490532,0.6278711369784409,6911
DSP,Logistic,0.0036363636363636364,0.009017132551848512,0.6278711369784409,6911
DSP,Logistic,0.00404040404040404,0.009017132551848512,0.6278711369784409,6911
DSP,Logistic,0.00404040404040404,0.013074842200180343,0.6278711369784409,6911
DSP,Logistic,0.0044444444444444444,0.013074842200180343,0.6278711369784409,6911
DSP,Logistic,0.0044444444444444444,0.014652840396753831,0.6278711369784409,6911
DSP,Logistic,0.0048484848484848485,0.014652840396753831,0.6278711369784409,6911
DSP,Logistic,0.0048484848484848485,0.02479711451758341,0.6278711369784409,6911
DSP,Logistic,0.0052525252525252525,0.02479711451758341,0.6278711369784409,6911
DSP,Logistic,0.0052525252525252525,0.027051397655545536,0.6278711369784409,6911
DSP,Logistic,0.0056565656565656566,0.027051397655545536,0.6278711369784409,6911
DSP,Logistic,0.0056565656565656566,0.030207394048692517,0.6278711369784409,6911
DSP,Logistic,0.006464646464646465,0.030207394048692517,0.6278711369784409,6911
DSP,Logistic,0.006464646464646465,0.03787195671776375,0.6278711369784409,6911
DSP,Logistic,0.006868686868686869,0.03787195671776375,0.6278711369784409,6911
DSP,Logistic,0.006868686868686869,0.06109107303877367,0.6278711369784409,6911
DSP,Logistic,0.007272727272727273,0.06109107303877367,0.6278711369784409,6911
